title,rt_critic,rt_audience,critic_minus_audience,total,tier
Titanic,88,69,19,71,B
Parasite,99,90,9,82,A
There Will Be Blood,91,86,5,76,A
Rocky,92,90,2,91,S
The Dark Knight,94,94,0,52,C
The Godfather,97,98,-1,47,C
The Matrix,83,85,-2,59,C
Goodfellas,95,97,-2,42,D
The Wolf of Wall Street,80,82,-2,27,F
Trainspotting,90,93,-3,76,A
Pulp Fiction,92,96,-4,72,B
American Gangster,81,87,-6,49,C
Shawshank Redemption,89,98,-9,89,A
The Big Lebowski,83,94,-11,74,B
American History X,84,96,-12,90,S
Fight Club,81,96,-15,71,B
Scarface,79,94,-15,34,D
Forrest Gump,71,95,-24,68,B
